Run,Episode,ClientSteps,ServerSteps,StepsMismatch,ClientReward,ServerReward,RewardMismatch,ServerErrorCount
1,1,22,22,0,-5.091591,-5.091590737343449,0,0
1,2,30,30,0,-8.489020,-8.489020243503873,0,0
1,3,30,30,0,-2.822395,-2.8223945268446786,0,0
1,4,30,30,0,-0.191522,-0.19152176834495682,0,0
1,5,14,14,0,4.934569, 4.934568973224581,0,0
2,1,30,30,0,-2.770677,-2.770677078693318,0,0
2,2,19,19,0,-1.039867,-1.039866583274188,0,0
2,3,30,30,0,-2.111945,-2.1119447486031566,0,0
2,4,30,30,0,-0.191522,-0.19152176834495682,0,0
2,5,30,30,0,-3.577322,-3.577321768344957,0,0
3,1,30,30,0,-1.364752,-1.3647520651562575,0,0
3,2,30,30,0,-2.475247,-2.4752467404712193,0,0
3,3,30,30,0,-2.270343,-2.270342628221157,0,0
3,4,26,26,0,1.250154,1.250153935137543,0,0
3,5,30,30,0,-0.772412,-0.7724116803598731,0,0
4,1,30,30,0,-2.390281,-2.390281078950393,0,0
4,2,30,30,0,-3.456815,-3.4568151190746086,0,0
4,3,30,30,0,-4.587794,-4.58779418376966,0,0
4,4,24,24,0,-1.184430,-1.1844296582212777,0,0
4,5,30,30,0,-11.850324,-11.85032437780116,0,0
5,1,10,10,0,7.625894,7.625893877800002,0,0
5,2,30,30,0,-3.238742,-3.238741768344957,0,0
5,3,30,30,0,-0.284782,-0.2847823165504325,0,0
5,4,30,30,0,-10.357101,-10.357100934727532,0,0
5,5,24,24,0,1.182649,1.1826490586224008,0,0
